trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.13489082037918,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",35,20,5.571323951864326,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-50.6070260079775,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-48.85944451834598,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-110.15031185759769,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-51.438666900167995,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,4,6.870513103121658,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-188.77889442556852,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,5,-13.081172553855547,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-43.48824762727445,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-148.00042041135285,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,16,-85.03431174113665,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,20,9.456723333639193,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-2.0492725342597344,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,19,20.0312130113876,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,25.590135159603545,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-53.68673111763951,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,27.71549280576092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-10.057946382192618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,-70.83872071415026,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0.0}",20,12,13.883429177534982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0.0}",20,13,13.92946523934503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0.0}",25,16,17.16609711816846,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0.0}",25,12,2.22116978516162,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0.0}",20,0,29.041900191415976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0.0}",20,7,26.055412143502025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0.0}",25,16,17.026456040775674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0.0}",20,3,26.577556439790282,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0.0}",30,13,31.556481063427743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0.0}",20,2,31.487531010672143,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
