trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9}",25,0,-140.50529360439074,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.48999999999999994}",20,0,-33.75825967409364,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.3429999999999999}",25,0,-23.554340545020302,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.24009999999999995}",25,0,-20.36472846863297,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.16806999999999994}",20,0,12.154057613575144,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.11764899999999996}",20,0,11.821806309485753,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.08235429999999996}",25,0,9.019682161708,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.05764800999999997}",25,0,36.86908161793682,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.04035360699999998}",30,0,10.594604078448183,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.02824752489999998}",20,0,10.95645094131835,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.019773267429999988}",20,0,18.099659192987268,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.01384128720099999}",20,0,16.546977401094757,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.009688901040699992}",20,12,15.196313512856275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.006782230728489994}",25,0,6.060713498574202,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.004747561509942996}",25,0,37.2623173857444,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.0033232930569600965}",25,7,12.017239376183248,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0023263051398720674}",30,0,35.11969815865138,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.001628413597910447}",30,1,23.10620516978573,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.001139889518537313}",35,21,5.408746401246283,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0007979226629761189}",25,0,26.18842157637556,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0.0}",20,6,23.597962208565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0.0}",20,0,33.18184759779638,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0.0}",25,0,19.623792132309386,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0.0}",25,0,29.865032266197446,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0.0}",25,7,26.468420900640233,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0.0}",20,10,19.02712639847375,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0.0}",25,0,32.292103542166586,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0.0}",20,12,7.275123908631243,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0.0}",25,0,20.14030385487776,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0.0}",30,6,18.013976367508672,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0.0}",25,0,40.45253099655816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0.0}",35,0,33.020047513775225,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0.0}",25,0,37.056014506604896,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0.0}",25,0,37.37754467432074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0.0}",20,0,29.293716774451788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
