trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.00589818058535,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-221.28775512655224,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-145.4828233561855,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-40.13189693396835,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-119.39471033891367,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-209.71612149109112,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-195.44997415617226,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.45195416032584,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-49.594711386354184,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-92.2466135033123,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-38.73114621368242,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-74.32953870763585,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-54.980454083195625,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-165.884312967301,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-197.48987302813998,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-58.38522148734808,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-166.59524836032332,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-56.4524295065136,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-23.983039105069512,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-127.38651591579726,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0.0}",20,0,-153.70290032036027,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0.0}",25,0,-142.48412378569498,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0.0}",25,0,-241.0842395319069,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
4,True,"{'a': 0, 'e': 0.0}",20,0,-72.58548732190498,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0.0}",25,9,-61.83843923212907,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0.0}",20,7,-69.84319438186908,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0.0}",30,0,-77.31615421151932,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0.0}",25,0,-165.45115557132442,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0.0}",20,0,-171.3324283852926,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0.0}",20,13,2.8554391175611675,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
